iter	RMSE
0	9.245649337
1	9.057573804
2	8.874624512
3	8.700067665
4	8.529256895
5	8.359916424
6	8.200004973
7	8.041726397
8	7.891426048
9	7.744319347
10	7.600501515
11	7.462997376
12	7.329125256
13	7.196583227
14	7.071399549
15	6.94558274
16	6.823979884
17	6.706200109
18	6.59292584
19	6.48262798
20	6.374717834
21	6.271789893
22	6.174490795
23	6.07804258
24	5.985653863
25	5.895478244
26	5.809028731
27	5.727817583
28	5.646032448
29	5.567799809
30	5.492676386
31	5.417679945
32	5.34562085
33	5.276756415
34	5.209470026
35	5.14421448
36	5.081470556
37	5.021991899
38	4.96343659
39	4.907373277
40	4.852283049
41	4.800311332
42	4.749769969
43	4.701941399
44	4.65429611
45	4.606862984
46	4.562717933
47	4.519587208
48	4.477816537
49	4.438181919
50	4.400196956
51	4.363055615
52	4.32816231
53	4.294485788
54	4.261509101
55	4.228915897
56	4.197542241
57	4.167199298
58	4.137951683
59	4.111088389
60	4.083646438
61	4.057381918
62	4.032723294
63	4.00931888
64	3.985582972
65	3.962766783
66	3.94082099
67	3.91923404
68	3.899432495
69	3.879060692
70	3.860448355
71	3.841760854
72	3.824263262
73	3.807051167
74	3.790295992
75	3.774316342
76	3.759125662
77	3.744683535
78	3.730295028
79	3.71614735
80	3.702564272
81	3.68882795
82	3.67576059
83	3.662969597
84	3.651504648
85	3.639602437
86	3.628730041
87	3.61745687
88	3.606803038
89	3.596769178
90	3.586460052
91	3.577263929
92	3.567747539
93	3.558197146
94	3.548681204
95	3.540377115
96	3.53149038
97	3.522784557
98	3.514977908
99	3.506858409
100	3.499524535
101	3.492544511
102	3.485788779
103	3.478732366
104	3.471371915
105	3.464811253
106	3.458038118
107	3.45180795
108	3.445009178
109	3.438965729
110	3.433495054
111	3.427252327
112	3.421653118
113	3.416036507
114	3.411241766
115	3.405605045
116	3.400245404
117	3.395503054
118	3.390754351
119	3.385896135
120	3.381169915
121	3.3764486
122	3.371723097
123	3.367383505
124	3.362941124
125	3.358243813
126	3.353877684
127	3.349899022
128	3.345275855
129	3.341164476
130	3.336837147
131	3.332935915
132	3.329491727
133	3.326278917
134	3.323121536
135	3.319703448
136	3.31651858
137	3.312955652
138	3.309472082
139	3.305663822
140	3.301471052
141	3.297833286
142	3.294716266
143	3.291608441
144	3.28838631
145	3.285459602
146	3.281826437
147	3.27875335
148	3.275201563
149	3.271354791
150	3.268169501
151	3.265644987
152	3.262959567
153	3.260312368
154	3.257356557
155	3.254932058
156	3.25200133
157	3.249131507
158	3.246551149
159	3.243913647
160	3.241250182
161	3.238634827
162	3.235815434
163	3.233042708
164	3.230485458
165	3.227177668
166	3.224987329
167	3.222485257
168	3.220055449
169	3.217690749
170	3.214767531
171	3.212230137
172	3.209895487
173	3.207225577
174	3.203955545
175	3.201205463
176	3.198947277
177	3.196963061
178	3.19472072
179	3.192165442
180	3.190068025
181	3.188001345
182	3.185614013
183	3.183558182
184	3.181712519
185	3.179270505
186	3.177689039
187	3.175335207
188	3.172953444
189	3.170446488
190	3.168436157
191	3.166748121
192	3.164645778
193	3.16268147
194	3.160587238
195	3.158659547
196	3.15626627
197	3.154653828
198	3.152937193
199	3.151517502
200	3.149088017
