iter	Passed	Remaining
0	105	1050251
1	149	746348
2	196	656112
3	245	612972
4	292	585178
5	336	559675
6	382	545976
7	426	532741
8	474	527232
9	523	522497
10	568	516465
11	616	513494
12	671	516242
13	734	523695
14	792	527553
15	851	531504
16	904	531102
17	968	536949
18	1031	541815
19	1090	544387
20	1143	543341
21	1193	541515
22	1252	543391
23	1327	551734
24	1381	551301
25	1443	553923
26	1511	558340
27	1594	567930
28	1678	577206
29	1755	583396
30	1876	603419
31	1943	605258
32	1995	602638
33	2048	600374
34	2095	596753
35	2144	593443
36	2190	589701
37	2233	585456
38	2281	582781
39	2329	580039
40	2376	577297
41	2421	574046
42	2465	570798
43	2511	568213
44	2559	566220
45	2610	564895
46	2658	562882
47	2704	560820
48	2748	558140
49	2793	555836
50	2840	554196
51	2887	552415
52	2934	550700
53	2977	548347
54	3023	546780
55	3070	545147
56	3113	543182
57	3158	541448
58	3203	539821
59	3247	537980
60	3294	536766
61	3336	534833
62	3383	533703
63	3427	532177
64	3472	530802
65	3516	529265
66	3560	527877
67	3608	527126
68	3657	526366
69	3707	525986
70	3757	525421
71	3803	524528
72	3857	524502
73	3905	523881
74	3962	524429
75	4012	523946
76	4068	524300
77	4118	523833
78	4164	522983
79	4214	522576
80	4261	521878
81	4311	521449
82	4358	520818
83	4407	520245
84	4455	519709
85	4504	519268
86	4552	518717
87	4605	518712
88	4654	518332
89	4702	517818
90	4747	516937
91	4790	515939
92	4835	515066
93	4880	514281
94	4932	514271
95	4980	513858
96	5036	514151
97	5081	513420
98	5125	512645
99	5168	511707
100	5214	511057
101	5260	510439
102	5308	510127
103	5355	509574
104	5400	508943
105	5455	509234
106	5502	508710
107	5553	508678
108	5604	508543
109	5655	508442
110	5707	508473
111	5762	508706
112	5812	508607
113	5866	508731
114	5923	509137
115	5973	509002
116	6020	508570
117	6069	508312
118	6119	508165
119	6167	507804
120	6216	507579
121	6262	507021
122	6307	506515
123	6359	506473
124	6406	506128
125	6455	505904
126	6504	505623
127	6552	505385
128	6604	505355
129	6665	506097
130	6721	506363
131	6765	505752
132	6809	505200
133	6854	504649
134	6899	504166
135	6953	504341
136	7005	504319
137	7053	504055
138	7100	503712
139	7151	503700
140	7199	503428
141	7248	503231
142	7295	502901
143	7344	502680
144	7395	502617
145	7445	502487
146	7489	502015
147	7536	501702
148	7585	501478
149	7635	501385
150	7683	501143
151	7727	500675
152	7774	500348
153	7823	500189
154	7871	499982
155	7916	499525
156	7979	500240
157	8069	502659
158	8143	504037
159	8197	504119
160	8246	503984
161	8295	503788
162	8342	503494
163	8388	503133
164	8435	502778
165	8485	502703
166	8535	502552
167	8589	502672
168	8638	502491
169	8687	502324
170	8740	502380
171	8790	502298
172	8840	502145
173	8890	502036
174	8941	501982
175	8993	502009
176	9041	501751
177	9087	501438
178	9133	501098
179	9179	500777
180	9224	500423
181	9270	500090
182	9314	499698
183	9364	499591
184	9413	499401
185	9464	499399
186	9508	498975
187	9556	498785
188	9602	498452
189	9649	498208
190	9697	498001
191	9744	497767
192	9789	497437
193	9831	496954
194	9877	496657
195	9923	496391
196	9976	496420
197	10022	496188
198	10073	496131
199	10121	495942
200	10167	495686
201	10213	495408
202	10258	495083
203	10306	494930
204	10353	494716
205	10404	494676
206	10469	495284
207	10532	495836
208	10583	495807
209	10640	496045
210	10693	496122
211	10740	495896
212	10786	495608
213	10833	495392
214	10881	495222
215	10932	495217
216	10981	495073
217	11025	494744
218	11071	494489
219	11120	494373
220	11167	494136
221	11214	493939
222	11262	493773
223	11315	493846
224	11366	493818
225	11416	493720
226	11463	493525
227	11519	493732
228	11575	493904
229	11632	494139
230	11688	494325
231	11742	494389
232	11790	494230
233	11834	493919
234	11879	493625
235	11934	493768
236	11983	493668
237	12031	493500
238	12074	493145
239	12118	492821
240	12160	492420
241	12207	492228
242	12256	492106
243	12301	491871
244	12349	491724
245	12400	491681
246	12449	491575
247	12498	491458
248	12563	491978
249	12634	492729
250	12701	493317
251	12749	493167
252	12803	493280
253	12863	493559
254	12913	493483
255	12972	493761
256	13022	493679
257	13080	493932
258	13127	493726
259	13173	493506
260	13226	493526
261	13277	493482
262	13330	493548
263	13385	493633
264	13435	493552
265	13483	493414
266	13534	493370
267	13585	493340
268	13639	493421
269	13689	493319
270	13743	493385
271	13789	493178
272	13840	493131
273	13922	494181
274	13976	494275
275	14023	494072
276	14068	493836
277	14115	493641
278	14171	493756
279	14224	493785
280	14271	493604
281	14324	493632
282	14374	493567
283	14435	493843
284	14501	494312
285	14554	494353
286	14615	494623
287	14669	494683
288	14725	494813
289	14771	494601
290	14820	494482
291	14869	494363
292	14927	494544
293	14991	494914
294	15040	494796
295	15089	494675
296	15138	494579
297	15186	494418
298	15232	494214
299	15284	494193
300	15331	494029
301	15379	493885
302	15431	493864
303	15482	493799
304	15530	493668
305	15577	493489
306	15626	493391
307	15674	493247
308	15722	493106
309	15771	492985
310	15816	492748
311	15857	492410
312	15903	492203
313	15952	492082
314	16010	492256
315	16057	492098
316	16103	491901
317	16149	491698
318	16195	491513
319	16242	491340
320	16291	491230
321	16335	490975
322	16381	490800
323	16430	490679
324	16478	490559
325	16528	490485
326	16575	490310
327	16623	490193
328	16667	489939
329	16712	489734
330	16767	489800
331	16813	489626
332	16862	489509
333	16916	489561
334	16969	489585
335	17027	489747
336	17073	489567
337	17119	489383
338	17170	489326
339	17213	489066
340	17258	488843
341	17305	488697
342	17353	488580
343	17398	488384
344	17446	488262
345	17494	488125
346	17544	488051
347	17591	487911
348	17637	487730
349	17684	487579
350	17730	487407
351	17774	487187
352	17822	487076
353	17867	486865
354	17915	486741
355	17960	486549
356	18015	486626
357	18059	486385
358	18109	486320
359	18154	486138
360	18199	485937
361	18244	485745
362	18293	485667
363	18347	485703
364	18399	485694
365	18452	485725
366	18516	486014
367	18582	486383
368	18647	486700
369	18724	487355
370	18784	487528
371	18838	487566
372	18902	487869
373	18980	488516
374	19061	489239
375	19150	490160
376	19233	490935
377	19304	491384
378	19392	492292
379	19462	492718
380	19529	493060
381	19597	493429
382	19664	493768
383	19732	494130
384	19793	494330
385	19873	494990
386	19954	495671
387	20015	495841
388	20092	496426
389	20153	496609
390	20203	496500
391	20263	496652
392	20318	496691
393	20368	496608
394	20417	496473
395	20469	496446
396	20522	496406
397	20574	496362
398	20626	496323
399	20677	496261
400	20729	496222
401	20779	496129
402	20828	496004
403	20877	495903
404	20921	495649
405	20967	495465
406	21014	495321
407	21074	495445
408	21121	495292
409	21170	495183
410	21219	495060
411	21264	494855
412	21311	494705
413	21360	494602
414	21408	494452
415	21455	494301
416	21508	494277
417	21561	494271
418	21616	494291
419	21681	494550
420	21743	494723
421	21802	494837
422	21854	494799
423	21902	494666
424	21948	494490
425	21998	494407
426	22057	494500
427	22120	494723
428	22173	494691
429	22224	494627
430	22278	494615
431	22327	494505
432	22376	494407
433	22425	494298
434	22474	494176
435	22526	494131
436	22576	494041
437	22627	493985
438	22677	493885
439	22724	493750
440	22773	493636
441	22823	493543
442	22869	493363
443	22914	493175
444	22958	492965
445	23008	492867
446	23055	492719
447	23112	492800
448	23160	492663
449	23210	492582
450	23260	492500
451	23312	492443
452	23360	492333
453	23410	492233
