,number,value,datetime_start,datetime_complete,duration,params_epsilon,params_svr_c,state
0,0,8.694245056388475,2020-10-08 13:32:02.567638,2020-10-08 13:32:02.580638,0 days 00:00:00.013000,0.3338288708158184,6.383109471687162,COMPLETE
1,1,8.41394468782849,2020-10-08 13:32:02.584638,2020-10-08 13:32:02.594641,0 days 00:00:00.010003,1.0276461521090985,6.656722716273799,COMPLETE
2,2,9.094268296313457,2020-10-08 13:32:02.597637,2020-10-08 13:32:02.606641,0 days 00:00:00.009004,0.80096914804629,5.0764927833849764,COMPLETE
3,3,7.988638418063714,2020-10-08 13:32:02.611639,2020-10-08 13:32:02.624638,0 days 00:00:00.012999,0.39880655761409634,21.291442351047795,COMPLETE
4,4,12.472398958309006,2020-10-08 13:32:02.628638,2020-10-08 13:32:02.636646,0 days 00:00:00.008008,4.340099572400526,74.06570365971795,COMPLETE
5,5,10.559670827030912,2020-10-08 13:32:02.640637,2020-10-08 13:32:02.649637,0 days 00:00:00.009000,0.4240851326361922,2.7276814305626833,COMPLETE
6,6,7.817393127778079,2020-10-08 13:32:02.654648,2020-10-08 13:32:02.670647,0 days 00:00:00.015999,0.6491573946223089,26.387797186583636,COMPLETE
7,7,8.40037584153872,2020-10-08 13:32:02.673638,2020-10-08 13:32:02.682638,0 days 00:00:00.009000,1.791984960171082,9.293657556574066,COMPLETE
8,8,8.661554263998466,2020-10-08 13:32:02.687651,2020-10-08 13:32:02.706639,0 days 00:00:00.018988,0.2936351204650266,40.073562233444534,COMPLETE
9,9,7.931280015499359,2020-10-08 13:32:02.711639,2020-10-08 13:32:02.725637,0 days 00:00:00.013998,0.9826871449862141,35.65394745520173,COMPLETE
10,10,15.147126541220205,2020-10-08 13:32:02.729640,2020-10-08 13:32:02.748637,0 days 00:00:00.018997,0.14018352341105325,1.1156374809995595,COMPLETE
11,11,7.987631735096471,2020-10-08 13:32:02.753640,2020-10-08 13:32:02.775638,0 days 00:00:00.021998,1.880876919272696,23.482923404401657,COMPLETE
12,12,20.43791373589505,2020-10-08 13:32:02.779638,2020-10-08 13:32:02.797639,0 days 00:00:00.018001,7.548660686264491,98.79321361093713,COMPLETE
13,13,7.96934877059831,2020-10-08 13:32:02.804638,2020-10-08 13:32:02.835636,0 days 00:00:00.030998,0.9564312668118305,37.468251521390556,COMPLETE
14,14,7.977265066861348,2020-10-08 13:32:02.838638,2020-10-08 13:32:02.863636,0 days 00:00:00.024998,0.14163415530208376,17.671909691060637,COMPLETE
15,15,8.824595145736922,2020-10-08 13:32:02.867636,2020-10-08 13:32:02.886638,0 days 00:00:00.019002,2.289405570017737,49.50931542207859,COMPLETE
16,16,7.737052352955435,2020-10-08 13:32:02.891637,2020-10-08 13:32:02.911636,0 days 00:00:00.019999,0.6620717143593636,13.291444524877662,COMPLETE
17,17,7.790442103196739,2020-10-08 13:32:02.916640,2020-10-08 13:32:02.942636,0 days 00:00:00.025996,0.5474947266033577,13.614018413457663,COMPLETE
18,18,7.9278043953390505,2020-10-08 13:32:02.945635,2020-10-08 13:32:02.969638,0 days 00:00:00.024003,0.2328677704725726,12.743882865140257,COMPLETE
