transaction_id,price,payment_date,customer_id,
T0000000113,210000,2019/2/1 1:36,PL563502,420000
T0000000114,50000,2019/2/1 1:37,HD678019,100000
T0000000115,120000,2019/2/1 2:34,HD298120,240000
T0000000116,210000,2019/2/1 2:47,IK452215,420000
T0000000117,170000,2019/2/1 4:33,PL542865,340000
T0000000118,120000,2019/2/1 4:36,GD372798,240000
T0000000119,180000,2019/2/1 5:25,IK782104,360000
T0000000120,50000,2019/2/1 6:22,IK624245,100000
T0000000121,210000,2019/2/1 6:40,HD218970,420000
T0000000122,85000,2019/2/1 8:10,AS912483,170000
T0000000123,50000,2019/2/1 9:32,OA336650,100000
T0000000124,120000,2019/2/1 11:27,OA207651,240000
T0000000125,180000,2019/2/1 13:14,TS419694,
T0000000126,170000,2019/2/1 13:46,HD068817,
T0000000127,85000,2019/2/1 14:14,OA041301,
T0000000128,210000,2019/2/1 17:20,IK234815,
T0000000129,50000,2019/2/1 18:08,TS146087,
T0000000130,210000,2019/2/1 19:44,AS614406,
T0000000131,85000,2019/2/1 20:00,PL964421,
T0000000132,180000,2019/2/1 20:36,AS642796,
T0000000133,210000,2019/2/1 20:51,GD648354,
T0000000134,150000,2019/2/1 22:08,TS701801,
T0000000135,100000,2019/2/1 22:37,GD362521,
T0000000136,120000,2019/2/1 23:18,OA041099,
T0000000137,210000,2019/2/1 23:35,GD029189,
T0000000138,50000,2019/2/1 23:40,GD241254,
T0000000139,100000,2019/2/2 0:10,AS220894,
T0000000140,150000,2019/2/2 0:17,IK548249,
T0000000141,210000,2019/2/2 0:18,HI830026,
T0000000142,100000,2019/2/2 0:18,IK429683,
T0000000143,85000,2019/2/2 1:25,GD903830,
T0000000144,85000,2019/2/2 1:40,AS265381,
T0000000145,85000,2019/2/2 4:14,IK548249,
T0000000146,120000,2019/2/2 4:14,OA959837,
T0000000147,50000,2019/2/2 4:24,HI527630,
T0000000148,85000,2019/2/2 5:07,GD843424,
T0000000149,100000,2019/2/2 6:06,AS220894,
T0000000150,180000,2019/2/2 6:34,AS015315,
T0000000151,50000,2019/2/2 10:04,OA239766,
T0000000152,210000,2019/2/2 10:52,HD471103,
T0000000153,120000,2019/2/2 11:27,PL020585,
T0000000154,50000,2019/2/2 11:44,PL983707,
T0000000155,120000,2019/2/2 11:51,OA393462,
T0000000156,210000,2019/2/2 12:17,AS912483,
T0000000157,210000,2019/2/2 12:21,IK921715,
T0000000158,120000,2019/2/2 12:41,AS820169,
T0000000159,50000,2019/2/2 13:35,OA329115,
T0000000160,100000,2019/2/2 15:08,HD263348,
T0000000161,120000,2019/2/2 16:56,IK429683,
T0000000162,50000,2019/2/2 18:23,PL563502,
T0000000163,210000,2019/2/2 19:36,OA441851,
T0000000164,150000,2019/2/2 20:20,AS820169,
T0000000165,120000,2019/2/2 20:42,GD573644,
T0000000166,85000,2019/2/2 21:01,PL309891,
T0000000167,180000,2019/2/2 21:20,HD194702,
T0000000168,210000,2019/2/2 21:42,IK025456,
T0000000169,180000,2019/2/2 23:19,IK077913,
T0000000170,150000,2019/2/3 0:46,TS918434,
T0000000171,120000,2019/2/3 1:33,HD566204,
T0000000172,85000,2019/2/3 2:09,HI263602,
T0000000173,50000,2019/2/3 3:18,HD995428,
T0000000174,210000,2019/2/3 3:42,HD994980,
T0000000175,100000,2019/2/3 6:48,TS117409,
T0000000176,180000,2019/2/3 7:27,HI196175,
T0000000177,100000,2019/2/3 7:46,PL729017,
T0000000178,120000,2019/2/3 8:38,GD670693,
T0000000179,120000,2019/2/3 9:27,PL381578,
T0000000180,120000,2019/2/3 9:36,AS236198,
T0000000181,50000,2019/2/3 11:01,GD316957,
T0000000182,210000,2019/2/3 11:02,PL407221,
T0000000183,50000,2019/2/3 11:09,IK967528,
T0000000184,120000,2019/2/3 11:41,AS870817,
T0000000185,180000,2019/2/3 12:09,HD678019,
T0000000186,120000,2019/2/3 12:15,PL674172,
T0000000187,50000,2019/2/3 13:44,GD639619,
T0000000188,100000,2019/2/3 13:45,GD730210,
T0000000189,85000,2019/2/3 14:51,GD762671,
T0000000190,85000,2019/2/3 16:01,IK749861,
T0000000191,180000,2019/2/3 16:23,IK629720,
T0000000192,180000,2019/2/3 16:25,GD821903,
T0000000193,210000,2019/2/3 16:36,OA710903,
T0000000194,295000,2019/2/3 18:03,HD699115,
T0000000195,180000,2019/2/3 18:26,GD620805,
T0000000196,85000,2019/2/3 19:13,GD735013,
T0000000197,210000,2019/2/3 19:35,IK809167,
T0000000198,120000,2019/2/3 19:37,HD509520,
T0000000199,120000,2019/2/3 20:02,IK921715,
T0000000200,50000,2019/2/3 20:11,HD995428,
T0000000201,50000,2019/2/3 20:20,PL534171,
T0000000202,85000,2019/2/3 20:48,TS963433,
T0000000203,210000,2019/2/3 21:41,AS582607,
T0000000204,170000,2019/2/3 23:39,PL705609,
T0000000205,120000,2019/2/4 0:01,HI145167,
T0000000206,210000,2019/2/4 0:32,IK446815,
T0000000207,210000,2019/2/4 0:42,TS558026,
T0000000208,170000,2019/2/4 0:53,AS359364,
T0000000209,170000,2019/2/4 1:00,TS515806,
T0000000210,85000,2019/2/4 1:37,OA138193,
T0000000211,210000,2019/2/4 2:22,HI364290,
T0000000212,180000,2019/2/4 3:23,HI253328,
T0000000213,120000,2019/2/4 5:42,HD163236,
T0000000214,85000,2019/2/4 6:21,PL792014,
T0000000215,50000,2019/2/4 7:56,PL472728,
T0000000216,50000,2019/2/4 8:15,TS931749,
T0000000217,120000,2019/2/4 8:29,HD478215,
T0000000218,120000,2019/2/4 8:52,AS866028,
